stam	ant	MIC	upper	lower	se.log.MIC.naive	E.log.MIC.naive	mode.log.MIC	upper.log.MIC.naive	lower.log.MIC.naive	upper.log.MIC	lower.log.MIC	E.log.MIC	upper.log.MIC.ref	lower.log.MIC.ref	log.MIC.ref	MIC.hanjan.upper	MIC.hanjan.lower	MIC.hanjan	MIC.unemo.upper	MIC.unemo.lower	MIC.unemo
strain0008	pen	1	0	-1	0.193983911151072	-0.970588235294118	0	-0.590379769438016	-1.35079670115022	-0.243875	-1.630175	-0.954224	0	-1	0	0.844474052355163	0.32304901919218	0.516119126300344	1	0.5	1
strain0010	pen	0.5	-1	-2	0.170232895629268	-1.85294117647059	-1	-1.51928470103722	-2.18659765190395	-1.179975	-2.53025	-1.85452	-1	-2	-1	0.441359146250257	0.173108683465666	0.276524650721988	0.5	0.25	0.5
strain0802	pen	0.5	-1	-2	0.470588235294118	-1.02941176470588	-1	-0.107058823529411	-1.95176470588235	-0.3148	-1.7191	-1.03431	-1	-2	-1	0.803962435877326	0.303738143722783	0.488249340326062	0.5	0.25	0.5
strain0902	pen	0.015625	-6	-7	0.63898708771766	-5.26470588235294	-6	-4.01229119042633	-6.51712057427955	-4.4962925	-6.0172325	-5.25161435182	-5	-6	-5	0.0443078919763248	0.015439474929065	0.0262486247615742	0.015625	0.0078125	0.015625
strain0903	pen	2	1	0	0.447503648667733	0.676470588235294	1	1.55357773962405	-0.200636563153463	1.375125	-0.0600999999999988	0.704157	1	0	1	2.59390384420801	0.959197630507646	1.6291924119037	2	1	2
strain0904	pen	2	1	0	0.409130227742457	1.20588235294118	1	2.00777759931639	0.40398710656596	1.87905	0.5217	1.205041	1	0	1	3.67832766352003	1.43564594540026	2.30543821099459	2	1	2
strain0909	pen	32	100	5	0.326192250188512	4.55882352941176	5	5.19816033978125	3.91948671904228	5.683015	4.1479	4.90707125	3	2	3	51.3757270391493	17.7272887612298	30.0037568376742	1.26765060022823e+30	32	32
strain0910	pen	32	100	5	0.31949354385883	4.61764705882353	5	5.24385440478683	3.99143971286022	5.784225	4.14245	4.9638184	100	5	5	55.1093421326667	17.6604475618986	31.2074462678625	1.26765060022823e+30	32	32
ATCC49226	tet	1	0	-1	0.227822549776907	-0.911764705882352	0	-0.465232508319615	-1.35829690344509	-0.171875000000001	-1.6371	-0.921631	-1	-2	-1	0.88768824626326	0.321502085258906	0.527911866262133	1	0.5	1
strain0005	tet	2	1	0	0.207972582701926	0.382352941176471	1	0.789979203272245	-0.0252733209193038	1.065125	-0.333050000000001	0.382036	1	0	1	2.09235116014499	0.793856417488006	1.30317966758882	2	1	2
strain0008	tet	1	0	-1	0.290417906737228	-0.558823529411765	0	0.0103955677932019	-1.12804262661673	0.155024999999999	-1.233325	-0.555864	0	-1	0	1.11344091252224	0.425336037305624	0.680249548956311	1	0.5	1
strain0010	tet	32	5	4	0.230652752078796	4.32352941176471	5	4.77560880583915	3.87145001769027	5.18259	3.6943275	4.447779852	5	4	5	36.3174247405309	12.945039838125	21.8230350187037	32	16	32
strain0802	tet	16	4	3	0.230652752078796	3.67647058823529	4	4.12854998230973	3.22439119416085	4.4107315	2.9489675	3.6878049915	5	4	5	21.2697548480678	7.72196224218309	12.8866466562796	16	8	16
strain0902	tet	0.25	-2	-3	0.223025748354457	-2.79411764705882	-2	-2.35698718028409	-3.23124811383356	-2.1117175	-3.5000575	-2.78835057282	-2	-3	-2	0.231371408353118	0.0883848249158168	0.144751422112935	0.25	0.125	0.25
strain0903	tet	2	1	0	0.201636900011795	0.735294117647059	1	1.13050244167018	0.34008579362394	1.4681	0.00595000000000017	0.731359	1	0	1	2.7665730156046	1.00413274204697	1.66020224424052	2	1	2
strain0904	tet	2	1	0	0.201636900011795	0.264705882352941	1	0.65991420637606	-0.130502441670178	0.965075	-0.417075	0.264889	2	1	2	1.95216500423974	0.748941531696716	1.20154360000238	2	1	2
strain0909	tet	2	1	0	0.189472040098899	0.617647058823529	1	0.989012257417371	0.246281860229688	1.318025	-0.100025	0.618928	0	-1	0	2.49324559282969	0.933016823447207	1.53573362455046	2	1	2
strain0910	tet	2	1	0	0.205882352941176	0.205882352941177	1	0.609411764705882	-0.197647058823529	0.941844999999999	-0.499067499999999	0.220890491	0	-1	0	1.92098333057189	0.707563974285631	1.16545273009151	2	1	2
